"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"E5",62.3650831807233,-0.0245087828914786,0.0703832760387194,0.328992333133673,0.643752821238029
"lbl",86.7363975216715,-0.0457923192882888,0.0850166498664833,0.0947508843128705,0.362302740165617
"CanB",1028.40535928307,0.0182656081336586,0.0559103516146545,0.612671949318893,0.835916448977567
"CanA1",166.772438296273,-0.0081846572839065,0.0656538651235957,0.734220426753929,0.89472864665071
"Cyp4g1",801.666907799084,-0.00321864095819185,0.0697818471483801,0.587521377436877,0.821978566141226
"GstD2",130.810909028991,0.0100716261987636,0.0698696554357788,0.433292339301702,0.727887982466866
"GstD3",241.882075181702,0.0170133938844075,0.0690294385232347,0.433619512873427,0.728242905311057
"GstD4",4.89596654651984,0.000370048298774182,0.0695980777182885,0.959319770443128,0.986846833246586
"GstD5",13.5678895523971,-0.00678384452265133,0.0701360897779566,0.349639952834749,0.661365275198336
"GstD6",3.7620014023945,0.0142406702560618,0.0719750964891232,0.0154055039904797,0.148478595470695
"GstD7",1.15541839493647,0.00448960650775594,0.0701248640727815,0.283711741446754,NA
"GstD8",69.8006987053102,0.00377689101649437,0.0688764839999214,0.77664248629374,0.913433016858273
"Itpr",2494.92167839901,0.0257956914350233,0.0547807985404744,0.470395918618101,0.752034000527537
"Jhe",5.19700643667842,0.0203181737769061,0.0738610088348293,0.0288127956624928,0.209178286063884
"Jheh1",1015.71345171575,-0.00987225369155413,0.0612182887695715,0.753024370969659,0.902135808792702
"RpL23",10123.318799424,0.0178268528774118,0.0668281697452393,0.506157078288205,0.775141167636891
"gammaTub37C",0.613191459982281,0.0023839373218106,0.0700702898022319,0.374545686289532,NA
"mAcon1",12637.6041113878,-0.00504234906796552,0.061195133003745,0.796277323473215,0.921230063549006
"comm",463.47970540189,-0.0166478757113336,0.057642476149337,0.625135992976937,0.84357334093703
"dpn",5.97820294300031,0.0117667549737583,0.0706421618865462,0.267720866410324,0.586219311285037
"heca",4203.85035672622,-0.272741252654534,0.0980900426978086,0.000319143166032056,0.0156771437996053
"hig",7142.88361968251,0.0605496994690117,0.0765545480661739,0.173720175767372,0.485468936077252
"RPA1",540.103251301921,-0.0124265804803811,0.0472701373487498,0.722527392675338,0.888985124874426
"Wnt5",330.530159376836,-0.010746392946513,0.0628789832827498,0.706434852951727,0.880411290591462
"Gyc32E",41.6613967243881,-0.0181199514072355,0.0673935153748516,0.478802392684958,0.756746237255159
"RpS15Aa",7753.8495514899,-0.00990186075238386,0.0585704993066825,0.725163269077868,0.889525284428563
"Sod2",1747.70186961022,0.041635707577052,0.0663271773597389,0.307126531235859,0.623246162864032
"alpha-Cat",1820.80486221248,-0.0731896889472323,0.0519047615564654,0.0624232185291025,0.299076264858604
"ATPsynbeta",20022.4940003417,0.129241431333069,0.127601413734874,0.0265770555364095,0.198800717055021
"Dbp45A",251.507551893537,-0.133559752723869,0.0846603427033342,0.0142348544729786,0.14235964836042
"Nmdmc",645.844159588069,0.037682517639996,0.0835810981926469,0.0155345878243103,0.149078555760092
"Galphaf",39.459691216752,0.0435050805688527,0.0863884647737691,0.0550178157294625,0.281029249190215
"Gel",7495.17025766675,-0.0158192057355656,0.0644525658477614,0.599997073269276,0.827546967777762
"GstS1",1516.49272489305,0.0294594628823234,0.0760638052335777,0.130114017640556,0.42621150234276
"HmgZ",1545.36525900863,-0.0935010772621045,0.0876944940791644,0.0523535861424096,0.274867046655132
"Klc",1652.31242882443,0.0134675107133699,0.0346076736901386,0.656099071724149,0.858176514851594
"Lac",1467.68240403429,0.00446595175883214,0.0395965682585762,0.889420673077929,0.964440082381443
"Lcch3",673.787944577533,0.026214202845054,0.0607466694064809,0.444572163498067,0.735248528571902
"Mdr50",6.64993397126551,0.0153825730464675,0.0722318854093889,0.0255691790612133,0.194900383319748
"Myo61F",170.76610193819,0.0340840974895713,0.0812665140874893,0.0192969009825395,0.166399847336091
"Parp1",416.628235558368,-0.0289253269334952,0.0560763811122116,0.420820622417018,0.719509069655587
"Rbp4",3.90562017596371,-0.00167389821302893,0.0696291643220515,0.822071574086986,0.933219377666836
"Rbp9",11363.0055379754,-0.115185810346002,0.0471804708451051,0.00320158462710523,0.0640366872139097
"RpS13",8693.68611622385,0.0126347158880454,0.0628352680938222,0.452177601650779,0.739554666509074
"Dsor1",418.145925893075,-0.037313698732114,0.0486415825491968,0.300073478720212,0.616987199157118
"Ssrp",345.96475312051,-0.122438021771337,0.0985312128283809,0.0244479478562019,0.189024177349493
"Taf4",2542.98387599808,-0.0285820227769275,0.0457628697014853,0.419339587342004,0.718336750650601
"TfIIFalpha",329.008003441451,-0.0150236718396602,0.0548912521979951,0.687144649024558,0.870993998395759
"Trf",55.7090527823705,-0.0366262571756925,0.0736699833957753,0.229518638161994,0.54747134137208
"Uch",284.602394508823,0.00715461617409092,0.0515661263818087,0.835967124607456,0.939839924990547
"bys",244.512204758625,0.00180330228708381,0.0469756134880375,0.951057508462197,0.984648794861752
"brat",936.915116850612,0.03704487591327,0.0533394208464813,0.304903383811487,0.620601092847608
"hep",1544.08913590234,-0.00617226579528228,0.0438344444555721,0.861359554119247,0.952162689358405
"pigeon",357.919968100862,-0.00563382331870985,0.0586074728254001,0.864922294867167,0.953496882415473
"corto",2141.72894667306,-0.00808570283255831,0.0440569578644164,0.816738741008678,0.93095727226816
"Cks30A",8.97458965400314,0.0210186705719306,0.0740632555536508,0.0375610045888675,0.238282849992019
"CycD",135.942615500699,-0.0987325877149919,0.124220413699239,0.0407540243122142,0.248339993206701
"dap",174.806410003384,0.0349601950909029,0.0623207723811336,0.394837331730664,0.695453967594291
"CycJ",50.2405331627767,-0.365281522821112,0.179523506752078,0.00149484257087933,0.0414834991368915
"Gsc",21.2619762154474,-0.0209898305736653,0.0701381893569373,0.353542887362325,0.66473994834297
"woc",1625.95940469429,-0.00497983622519837,0.0443792787278984,0.886930950694437,0.963020132016716
"Tbh",478.113953705794,-0.00971596922875339,0.0610396566874272,0.742405155553,0.89826115156079
"Rac1",806.570610525083,-0.0185884732806864,0.0426204064813443,0.575218727043442,0.816071263764121
"128up",341.798808686389,-0.131593630437157,0.073968903435408,0.0104404730133615,0.122004874336493
"140up",157.141749622261,0.0268871811303509,0.0607273499364812,0.438967027571759,0.731288495386892
"Cdc42",1180.00746058115,0.027838068438087,0.0376783569907326,0.382465257666105,0.686850547777236
"Map60",251.266045488522,-0.0468235245108867,0.0652779350275566,0.223977323567531,0.541609442749777
"Arf1",3290.61409888961,0.00889928270617194,0.0308497135169936,0.747374748419878,0.899811404778971
"Cds",7153.13300255904,0.0112126460397999,0.0460611247714278,0.741267630633017,0.898028451595231
"Ogdh",10123.6309350337,0.0119870793014948,0.0603045806206952,0.989256224118971,0.998209826021512
"Taf1",1309.6164323198,-0.0124919234054309,0.051424761736294,0.758218401818787,0.904037768968536
"Taf5",256.127113963318,-0.0706168808452425,0.0705380682141207,0.100843702139445,0.374833110171746
"deltaTry",268.583083368412,4.0592528980934,2.20033086849208,0.000662063591496762,0.0252628491267261
"gammaTry",354.569225339236,0.00389494721952657,0.0701864550476837,0.00292534132460975,0.0608431185576644
"Akt",1126.19453497794,0.0743705376611937,0.0598888343750742,0.0799958823141363,0.334005140648639
"AP-1-2beta",2076.60871381493,0.025248245761803,0.0434263231073415,0.466833673845561,0.750034402553125
"FBgn0010381",1948.10087880654,0.007933426690876,0.0704283760145558,0.207913481055576,0.523353051708707
"CycE",42.5218507799127,0.00836386189393338,0.066052731935608,0.718297378722023,0.885902017979188
"Cyp18a1",478.29422347435,0.0273128236950956,0.0690623156397101,0.347242074429199,0.659065971318544
"Def",210.291167497848,-0.00245026663851575,0.0686701690581581,0.879707923841572,0.959496766448158
"Acbp2",876.141254695947,0.00559533395053343,0.068114486352462,0.749520645389553,0.900832240676084
"Dro",532.71868400318,0.0031320806900424,0.0699721636268955,0.512910749647858,0.778648622472211
"htl",421.699670101135,0.0510400045622906,0.0818850346474134,0.139192869499986,0.439895727623089
"SrpRalpha",735.712358222784,-0.0272951386999444,0.0426934117667237,0.420649644175449,0.719470262536477
"Itgbn",38.9788930191147,0.0148358322562229,0.0682588091232448,0.498958009506168,0.77073983612995
"LamC",699.915206771484,0.0909287595937565,0.0749613059874384,0.0513934670427775,0.273319340155681
"Lrr47",59.1137210021311,-0.0140624706245411,0.0634905336906995,0.62703135183223,0.844163274363045
"Nmdar1",775.298507674556,0.00512358535278229,0.062374215435113,0.841233599404196,0.942455083708598
"Os-C",1791.81381075705,0.0023407957594847,0.0696964416251031,0.756720717822808,0.90337857364673
"Obp83b",1981.93196589519,0.00171159610922226,0.0697040135889743,0.817779472856044,0.931360407009726
"RNaseX25",879.217505543278,-0.0553947824675266,0.0413078190415749,0.106850325269876,0.385405099455766
"Ror",132.077254610771,-0.010347637851001,0.0607234741048556,0.740891610063232,0.898028451595231
"RpS9",8846.29175736484,-0.00758136609272568,0.0597553793509261,0.809202181178694,0.92738866082355
"RpL18A",10865.135294319,-0.0158885067877383,0.0630708310434735,0.598271694269109,0.827001767355714
"RpS18",9062.21887771526,0.00259332724953288,0.0580935528464399,0.945634338689726,0.982573778777938
"RpS19a",9121.7744791913,-0.00471729518327012,0.0589612069664747,0.665534947783136,0.862685629918874
"SerT",427.20358237617,-0.0365712759806119,0.0509126206511485,0.322059708803439,0.636719741953569
"Sdc",1906.97219693559,0.0500425378903648,0.0427833702656553,0.148645013531661,0.453451359402029
"TH1",323.292095215886,-0.0500603295484074,0.0559174042154456,0.196392877727321,0.512925867863511
"Taf6",390.778210995993,-0.052030921618796,0.0644373105992812,0.19925946234576,0.514335729159451
"TfIIFbeta",153.196062319681,-0.148865419159235,0.0865310977499684,0.00938716744987277,0.115554142405311
"TfIIS",425.244957350208,-0.0433293831149159,0.0578785921344555,0.255758379986331,0.5731655785244
"TpnC47D",17.6626364728612,0.0125547530320907,0.0710818823664651,0.164219093449037,0.475057084185492
"TpnC73F",131.138321161737,0.0204819756544669,0.0678172805492156,0.436208593374635,0.729917825066065
"mtrm",3.66291758520716,0.00598105025047535,0.070178385093435,0.276924390205256,0.595454265056176
"ato",3.8352089118673,-0.00526916517153944,0.0698955929669123,0.501248583255156,0.771952923232956
"cora",4182.19512141473,0.00376409544337193,0.0386835295556518,0.938853086655243,0.981452576835104
"emp",3999.38173808388,0.0552524460410639,0.0562134881218708,0.154025226950521,0.45988761870811
"mtSSB",93.1118618481406,-0.216103262513793,0.143809367186872,0.00571461638240612,0.0892818464829774
"pll",201.422258450255,0.0133699729056131,0.0623466682736146,0.667495225687803,0.86356773850084
"trn",386.973913206215,0.0985532621422462,0.0959128849849155,0.0490072186570033,0.267484695786054
"Wnt4",108.241504636723,0.0195470154222021,0.065134539621212,0.524932262287068,0.787152811085672
"Fkbp14",947.099795553028,0.0169707312692281,0.0571333023170407,0.626450801362825,0.843757298484377
"tutl",4411.81810402965,0.102890875591248,0.104517632897939,0.0435541646024857,0.254783861746516
"hlk",1152.4766049715,0.0180199661276206,0.0643617781266541,0.53823069125852,0.795815913741491
"NAT1",7403.62182706825,0.0626332226489776,0.0410498917400011,0.0756661798000458,0.325136182407809
"dmGlut",99.8845757863484,0.0104861688778408,0.0657499914540005,0.672833180109973,0.86521469750695
"Dcp-1",103.230503622491,-0.0262659597984986,0.066211954012068,0.403749096776058,0.704281247587189
"kermit",194.525721014669,0.0238249126068596,0.0709567605247603,0.315007004086685,0.629854661543345
"wal",2028.23686293786,-0.0187895402841842,0.0584133565702691,0.675631031193558,0.866321857435681
"Bka",111.242468093884,-0.0563622230343366,0.0748402656144222,0.151354889209286,0.456704372746041
